state,fm,mse_activity,n_points
QEEE,0.3336770869670073,8.938306730921841e-05,13
QEQE,-0.5688347914523392,0.008521063050649235,15
QEQQ,-1.0166613811114977,0.013543993749588727,27
QQQQ,-1.6429826546522657,0.0029013916069235224,14
QEmQQ,-3.283396900569378,0.0015062567688258496,13
QEmQEm,-4.325549196685958,0.01532499528303898,12
