Lmin_uM,Lmax_uM,prior_center_uM,I_bits,N_eff
0.3,3000.0,30.0,1.922677425403308,3.791260071559628
1.0,10000.0,100.0,2.181632308931791,4.536665559535445
3.0,30000.0,300.0,2.2574349841927455,4.781406234667399
10.0,100000.0,1000.0,2.1418406665447236,4.4132475274193625
18.0,180000.0,1800.0,2.014528035444931,4.040483762217713
