condition,L_display_uM,sigma_A_effective,sigma_R,sigma_m
buffer_displayed_at_1uM,1.0,0.6782329983125268,0.06782329983125268,0.2550202841886844
10uM,10.0,0.405,0.04050000000000001,0.15228279271782752
25uM,25.0,0.363,0.0363,0.13649050310264538
