layer,alpha_median,alpha_2.5%,alpha_97.5%,GmA_2.5%,GmA_97.5%
within-state residual bootstrap,2.0028826754697864,1.9478385541503485,2.0569372081288204,2.5971180722004643,2.7425829441717604
between-family structural sensitivity,1.9869786021265667,1.841463993196766,2.155739297587945,2.4552853242623547,2.874319063450593
