g_mm^-1,reflecting_over_open,finite_window_over_open,reinjection_over_open_stress_test
0.1,5.658333333333334,3.1833333333333336,7.666666666666667
0.2,2.637744034707158,2.227765726681128,5.314533622559653
0.3,1.777777777777778,1.5779816513761469,3.98572884811417
0.4,1.1930036188178528,1.2406513872135103,3.9083232810615196
